episode_reward_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-62.581984586340255,4.356817245483398,False,,,1,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-04-36,1607231076,4.356817245483398,3246,Macbook,192.168.86.30,4.356817245483398,0,1,4728c_00012,"12_discount=0.997,tau=0.0001"
-62.581984586340255,2.0982301235198975,False,,,2,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-04-38,1607231078,6.455047369003296,3246,Macbook,192.168.86.30,6.455047369003296,0,2,4728c_00012,"12_discount=0.997,tau=0.0001"
-62.581984586340255,2.10904598236084,False,,,3,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-04-40,1607231080,8.564093351364136,3246,Macbook,192.168.86.30,8.564093351364136,0,3,4728c_00012,"12_discount=0.997,tau=0.0001"
-62.581984586340255,2.067685842514038,False,,,4,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-04-42,1607231082,10.631779193878174,3246,Macbook,192.168.86.30,10.631779193878174,0,4,4728c_00012,"12_discount=0.997,tau=0.0001"
-62.581984586340255,2.0486960411071777,False,,,5,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-04-44,1607231084,12.680475234985352,3246,Macbook,192.168.86.30,12.680475234985352,0,5,4728c_00012,"12_discount=0.997,tau=0.0001"
-13.223789437236125,154.22557187080383,False,,,6,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-07-18,1607231238,166.90604710578918,3246,Macbook,192.168.86.30,166.90604710578918,0,6,4728c_00012,"12_discount=0.997,tau=0.0001"
-12.9953164811422,151.87257409095764,False,,,7,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-09-50,1607231390,318.7786211967468,3246,Macbook,192.168.86.30,318.7786211967468,0,7,4728c_00012,"12_discount=0.997,tau=0.0001"
-12.275527763236505,151.1130030155182,False,,,8,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-12-21,1607231541,469.891624212265,3246,Macbook,192.168.86.30,469.891624212265,0,8,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.60653593868155,151.6069779396057,False,,,9,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-14-53,1607231693,621.4986021518707,3246,Macbook,192.168.86.30,621.4986021518707,0,9,4728c_00012,"12_discount=0.997,tau=0.0001"
-10.977767575901776,153.42416715621948,False,,,10,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-17-26,1607231846,774.9227693080902,3246,Macbook,192.168.86.30,774.9227693080902,0,10,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.57950469678769,152.35183691978455,False,,,11,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-19-58,1607231998,927.2746062278748,3246,Macbook,192.168.86.30,927.2746062278748,0,11,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.505788098624725,152.24552702903748,False,,,12,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-22-31,1607232151,1079.5201332569122,3246,Macbook,192.168.86.30,1079.5201332569122,0,12,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.851008935338673,153.7246630191803,False,,,13,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-25-04,1607232304,1233.2447962760925,3246,Macbook,192.168.86.30,1233.2447962760925,0,13,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.322974682960421,156.57664394378662,False,,,14,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-27-41,1607232461,1389.8214402198792,3246,Macbook,192.168.86.30,1389.8214402198792,0,14,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.770753758198742,153.56298303604126,False,,,15,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-30-15,1607232615,1543.3844232559204,3246,Macbook,192.168.86.30,1543.3844232559204,0,15,4728c_00012,"12_discount=0.997,tau=0.0001"
-11.570061804768333,140.67390394210815,True,,,16,faa38dd3ddd54e7a9072f4204f5f849f,2020-12-05_21-32-35,1607232755,1684.0583271980286,3246,Macbook,192.168.86.30,1684.0583271980286,0,16,4728c_00012,"12_discount=0.997,tau=0.0001"
